experiment,LC,Sample,injection,analysis,method,PG_mean,PG_std,PG,PG_all,DPPP_MS1,DPPP_MS2,Precursors_mean,Precursors_std,Precursors,Precursors_all,"FWHM, s",folder,name,short_name,pep_ms1_cv,prot_ms1_cv,pep_ms2_cv,prot_ms2_cv,SPD
JB_HeLa250pg_240k_20Th_40ms_30SPD_MBR,44.7,HeLa,250pg,MBR,20Th_40ms_30SPD,5099.666666666667,10.263202878893768,"[5111, 5097, 5091]",5124,6.0,5.0,28424.666666666668,5.033222956847167,"[28424, 28420, 28430]",28746.0,3.6766666666666663,20240209_104216_JB_HeLa250pg_240k_20Th_40ms_30SPD_MBR,"HeLa_250pg
20Th_40ms_30SPD
MBR",250pg_MBR,10.05083946086884,6.62592935391551,20.420957266544697,13.088404726461281,30SPD
JB_HeLa250pg_240k_20Th_40ms_30SPD_noMBR,44.7,HeLa,250pg,noMBR,20Th_40ms_30SPD,4655.666666666667,147.99436926225718,"[4824, 4546, 4597]",5315,7.0,5.0,22871.0,352.5577966802039,"[23182, 22488, 22943]",29633.0,3.6533333333333338,20240209_103434_JB_HeLa250pg_240k_20Th_40ms_30SPD_noMBR,"HeLa_250pg
20Th_40ms_30SPD
noMBR",250pg_noMBR,10.265090842561388,12.02859320791317,25.19676672888007,20.789563602831905,30SPD
JB_HeLa250pg_240k_20Th_40ms_40SPD_MBR,32.8,HeLa,250pg,MBR,20Th_40ms_40SPD,5560.666666666667,10.96965511460289,"[5557, 5573, 5552]",5603,6.0,4.0,34850.666666666664,134.4222203853713,"[34704, 34968, 34880]",35591.0,3.27,20240209_104251_JB_HeLa250pg_240k_20Th_40ms_40SPD_MBR,"HeLa_250pg
20Th_40ms_40SPD
MBR",250pg_MBR,12.210595926748121,7.217216028652752,21.19922383438463,12.162716675276767,40SPD
JB_HeLa250pg_240k_20Th_40ms_40SPD_noMBR,32.8,HeLa,250pg,noMBR,20Th_40ms_40SPD,5091.333333333333,206.4323940987299,"[4853, 5214, 5207]",5757,6.0,4.0,28317.666666666668,1042.42042062372,"[27114, 28925, 28914]",36680.0,3.263333333333333,20240209_103517_JB_HeLa250pg_240k_20Th_40ms_40SPD_noMBR,"HeLa_250pg
20Th_40ms_40SPD
noMBR",250pg_noMBR,30.527886025032622,27.814950126937127,35.14325230411564,29.33930661320466,40SPD
JB_HeLa250pg_240k_20Th_40ms_50SPD_noMBR,24.8,HeLa,250pg,noMBR,20Th_40ms_50SPD,5343.333333333333,495.69782462033595,"[4804, 5779, 5447]",6126,5.0,4.0,32293.666666666668,2078.962561792139,"[30335, 34475, 32071]",41486.0,2.52,20240209_103639_JB_HeLa250pg_240k_20Th_40ms_50SPD_noMBR,"HeLa_250pg
20Th_40ms_50SPD
noMBR",250pg_noMBR,20.49244595030144,19.95435855748753,27.446127524698092,23.084110691010018,50SPD
JB_HeLa250pg_240k_20Th_40ms_50SPD_MBR,24.8,HeLa,250pg,MBR,20Th_40ms_50SPD,5989.333333333333,9.018499505645789,"[5980, 5998, 5990]",6017,5.0,4.0,40056.0,183.7688765814277,"[39970, 40267, 39931]",40786.0,2.5466666666666664,20240209_104330_JB_HeLa250pg_240k_20Th_40ms_50SPD_MBR,"HeLa_250pg
20Th_40ms_50SPD
MBR",250pg_MBR,11.633302126269447,6.838346278879448,20.356296929001143,11.985030682123242,50SPD
JB_HeLa250pg_240k_20Th_40ms_60SPD_MBR,20.9,HeLa,250pg,MBR,20Th_40ms_60SPD,5740.666666666667,11.930353445448855,"[5746, 5749, 5727]",5765,5.0,4.0,34888.333333333336,77.6745346515403,"[34825, 34975, 34865]",35332.0,2.5533333333333332,20240209_104418_JB_HeLa250pg_240k_20Th_40ms_60SPD_MBR,"HeLa_250pg
20Th_40ms_60SPD
MBR",250pg_MBR,9.201844450212914,5.803169325192345,19.16160583380763,12.244135139656164,60SPD
JB_HeLa250pg_240k_20Th_40ms_60SPD_noMBR,20.9,HeLa,250pg,noMBR,20Th_40ms_60SPD,5358.666666666667,193.70682314604545,"[5160, 5547, 5369]",6065,5.0,4.0,28441.333333333332,1715.1843438340186,"[26560, 29918, 28846]",36261.0,2.52,20240209_103759_JB_HeLa250pg_240k_20Th_40ms_60SPD_noMBR,"HeLa_250pg
20Th_40ms_60SPD
noMBR",250pg_noMBR,9.485224129996475,10.726216899278775,22.72439359224431,18.427051265000163,60SPD
JB_HeLa250pg_240k_20Th_40ms_80SPD_MBR,13.9,HeLa,250pg,MBR,20Th_40ms_80SPD,5102.0,10.535653752852738,"[5101, 5113, 5092]",5124,4.0,3.0,25125.333333333332,73.85345850624284,"[25203, 25117, 25056]",25672.0,2.223333333333333,20240209_104527_JB_HeLa250pg_240k_20Th_40ms_80SPD_MBR,"HeLa_250pg
20Th_40ms_80SPD
MBR",250pg_MBR,11.86952442550586,8.0144266368665,23.919994553304225,15.415060074413747,80SPD
JB_HeLa250pg_240k_20Th_40ms_80SPD_noMBR,13.9,HeLa,250pg,noMBR,20Th_40ms_80SPD,4591.333333333333,25.006665778014735,"[4580, 4620, 4574]",5286,4.0,3.0,19670.0,209.44450338932268,"[19429, 19773, 19808]",26417.0,2.203333333333333,20240209_104133_JB_HeLa250pg_240k_20Th_40ms_80SPD_noMBR,"HeLa_250pg
20Th_40ms_80SPD
noMBR",250pg_noMBR,13.84124529993414,15.115487861128617,26.157889495781404,22.230271774672293,80SPD
