file,Method Evaluation,DirectDIA+,"DirectDIA+, OS",Library Search (20cells),Library Search (40cells),labels,position
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_blank_H15,198,454,204,570,403,blank,H15
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_blank_I15,224,476,194,505,251,blank,I15
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_blank_J15,94,224,131,183,105,blank,J15
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B18,1523.0,2753.0,1787.0,2652.0,2511.0,SC_20-25,B18
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B19,1777.0,2739.0,1877.0,2448.0,2277.0,SC_20-25,B19
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B20,2314.0,4050.0,2874.0,4433.0,4398.0,SC_15-20,B20
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B21,1422.0,2041.0,1433.0,1813.0,1796.0,SC_15-20,B21
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C18,1752.0,3161.0,2186.0,2949.0,2871.0,SC_20-25,C18
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C19,1695.0,2965.0,1836.0,2972.0,2516.0,SC_20-25,C19
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C20,1841.0,3163.0,1842.0,3191.0,2965.0,SC_15-20,C20
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C21,2006.0,3316.0,2464.0,3490.0,3344.0,SC_15-20,C21
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_D18,2945.0,4590.0,3652.0,4713.0,4633.0,SC_20-25,D18
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_D19,1792.0,3459.0,2129.0,3339.0,3139.0,SC_20-25,D19
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_D20,1518.0,2987.0,1850.0,3047.0,2865.0,SC_15-20,D20
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_D21,1262.0,2575.0,1835.0,2595.0,2651.0,SC_15-20,D21
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_E18,1924.0,3696.0,2492.0,3589.0,3363.0,SC_20-25,E18
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_E19,1534.0,2946.0,1966.0,2895.0,2851.0,SC_20-25,E19
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_E20,1209.0,2440.0,1696.0,2031.0,2138.0,SC_15-20,E20
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_F16,3241.0,4834.0,3750.0,5189.0,5097.0,SC_25-30,F16
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_F19,3015.0,4515.0,3651.0,4840.0,4876.0,SC_20-25,F19
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_F20,1382.0,3043.0,1856.0,2691.0,2670.0,SC_15-20,F20
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_G16,2360.0,3696.0,2788.0,3604.0,3595.0,SC_25-30,G16
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_G17,2513.0,4201.0,3166.0,4526.0,4506.0,SC_25-30,G17
20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_G20,1978.0,3532.0,2519.0,3517.0,3505.0,SC_15-20,G20
