principal component 1,principal component 2,principal component 3,position,diameter,elongation,umap1,umap2,names,colors,position
90.62928039892057,-28.08532499788438,-6.16879052254135,B18,20.75,1.37,11.198925,8.6854315,SC_20-25,green,B18
92.09631508629344,-25.459367376391942,18.22570193875896,B19,21.46,1.48,11.012805,8.4322405,SC_20-25,green,B19
-33.64066897646871,21.139165215559185,3.4518799889186926,B20,19.36,1.24,14.788731,11.915251,SC_15-20,blue,B20
115.48126155274223,6.297727556616581,7.237118173965677,B21,19.45,1.36,10.725718,8.652671,SC_15-20,blue,B21
53.02986655414063,-18.668831815450925,5.460996916577275,C18,23.19,1.35,12.10641,8.684282,SC_20-25,green,C18
64.19952364505652,-0.20730476312223342,-3.2221353024318993,C19,21.63,1.44,11.864745,9.208311,SC_20-25,green,C19
63.05758734826808,-10.056442004317459,-0.21156466462093249,C20,18.47,1.27,11.753897,9.04176,SC_15-20,blue,C20
13.280557328893781,47.3614039276283,6.886763650671341,C21,19.23,1.33,13.33537,12.544859,SC_15-20,blue,C21
-43.988293546799966,-28.279529941122256,-14.635706559261369,D18,24.94,1.38,14.849054,10.202128,SC_20-25,green,D18
27.296992935938224,-4.120862209593017,-11.749166831876632,D19,22.05,1.24,12.666512,9.429163,SC_20-25,green,D19
73.89386176867022,-13.849954190126482,2.659498008005424,D20,18.36,1.48,11.462037,8.859288,SC_15-20,blue,D20
87.68920487718287,10.456117349758834,-32.635311440807044,D21,19.45,1.31,11.068266,9.218372,SC_15-20,blue,D21
13.495912436835713,-12.840696790533462,-22.634324718630975,E18,21.58,1.44,13.038001,9.622053,SC_20-25,green,E18
69.33508028571511,-5.858739425371216,-25.246490255272263,E19,22.47,1.43,11.43586,9.238819,SC_20-25,green,E19
98.9652629949992,4.364623477692879,-28.88534187067861,E20,19.07,1.4,10.939267,8.998296,SC_15-20,blue,E20
-57.090594241458234,-32.83809469045322,0.6728405869337583,F16,28.75,1.41,14.550318,9.948015,SC_25-30,yellow,F16
-55.45718211053369,-4.38456165317007,-11.097383857541487,F19,22.61,1.49,15.297592,11.533289,SC_20-25,green,F19
70.38266695669311,-15.890291644412375,-12.909885342717748,F20,19.71,1.32,11.521549,8.620483,SC_15-20,blue,F20
15.39835933873258,-0.21528642029394507,-10.49992654779703,G16,26.7,1.48,13.59726,10.837141,SC_25-30,yellow,G16
-39.16675280999709,10.870005693923563,4.334350223076156,G17,26.29,1.41,15.370983,11.5659275,SC_25-30,yellow,G17
33.44302929671575,-14.856342423009712,-18.491191365467916,G20,19.6,1.45,12.3958435,9.3009,SC_15-20,blue,G20
-68.76513022531786,-5.555773103478289,-13.535160045232042,H16,25.13,1.38,14.768209,11.420685,SC_25-30,yellow,H16
-17.42206988798554,3.511404890243752,25.491659010672688,H17,26.8,1.42,15.644417,10.609745,SC_25-30,yellow,H17
