method	analysis	Sample	experiment	PG	PG_mean	Precursors	Precursors_mean	prot_ms1_cv	prot_ms2_cv	DPPP_MS1	DPPP_MS2	FWHM, s
20Th_40ms_30SPD	MBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_30SPD_MBR	[5111, 5097, 5091]	5099.666666666667	[28424, 28420, 28430]	28424.666666666668	6.62592935391551	13.088404726461281	6.0	5.0	3.6766666666666663
20Th_40ms_30SPD	noMBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_30SPD_noMBR	[4824, 4546, 4597]	4655.666666666667	[23182, 22488, 22943]	22871.0	12.02859320791317	20.789563602831905	7.0	5.0	3.6533333333333338
20Th_40ms_40SPD	MBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_40SPD_MBR	[5557, 5573, 5552]	5560.666666666667	[34704, 34968, 34880]	34850.666666666664	7.217216028652752	12.162716675276767	6.0	4.0	3.27
20Th_40ms_40SPD	noMBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_40SPD_noMBR	[4853, 5214, 5207]	5091.333333333333	[27114, 28925, 28914]	28317.666666666668	27.814950126937127	29.33930661320466	6.0	4.0	3.263333333333333
20Th_40ms_50SPD	noMBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_50SPD_noMBR	[4804, 5779, 5447]	5343.333333333333	[30335, 34475, 32071]	32293.666666666668	19.95435855748753	23.084110691010018	5.0	4.0	2.52
20Th_40ms_50SPD	MBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_50SPD_MBR	[5980, 5998, 5990]	5989.333333333333	[39970, 40267, 39931]	40056.0	6.838346278879448	11.985030682123242	5.0	4.0	2.5466666666666664
20Th_40ms_60SPD	MBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_60SPD_MBR	[5746, 5749, 5727]	5740.666666666667	[34825, 34975, 34865]	34888.333333333336	5.803169325192345	12.244135139656164	5.0	4.0	2.5533333333333332
20Th_40ms_60SPD	noMBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_60SPD_noMBR	[5160, 5547, 5369]	5358.666666666667	[26560, 29918, 28846]	28441.333333333332	10.726216899278775	18.427051265000163	5.0	4.0	2.52
20Th_40ms_80SPD	MBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_80SPD_MBR	[5101, 5113, 5092]	5102.0	[25203, 25117, 25056]	25125.333333333332	8.0144266368665	15.415060074413747	4.0	3.0	2.223333333333333
20Th_40ms_80SPD	noMBR	HeLa	JB_HeLa250pg_240k_20Th_40ms_80SPD_noMBR	[4580, 4620, 4574]	4591.333333333333	[19429, 19773, 19808]	19670.0	15.115487861128617	22.230271774672293	4.0	3.0	2.203333333333333
20Th_40ms_50SPD	L10ng	HeLa	JB_HeLa250pg_240k_20Th_40ms_50SPD_L10ng	[7502, 7597, 7592]	7563.666666666667	[56554, 59830, 58611]	58331.666666666664	8.639458556743666	14.301328562225265	5.0	4.0	2.54
20Th_40ms_50SPD	MBR_OS	HeLa	JB_250pgHeLa_50SPD_SO_MBR	[5788, 5854, 5819]	5820.333333333333	[37828, 38513, 37977]	38106.0	6.561599782860776	11.621536019924	5.0	4.0	2.5466666666666664
20Th_40ms_50SPD	L10ng_OS	HeLa	JB_250pgHeLa_libraryOS	[6394, 6483, 6243]	6373.333333333333	[43762, 47229, 46964]	45985.0	0.0	0.0	5.0	4.0	2.54
20Th_40ms_50SPD	MBR_OS	K562	JB_250pgK562_50SPD_MBR_OS	[5304, 5331, 5311]	5315.333333333333	[33759, 33426, 33388]	33524.333333333336	7.11297054174196	11.11089259666483	5.0	4.0	2.566666666666667
20Th_40ms_50SPD	L10ng_OS	K562	JB_250pgK562_50SPD_L10ng_OS	[5522, 5901, 5946]	5789.666666666667	[38461, 37811, 39677]	38649.666666666664	0.0	0.0	5.0	4.0	2.5466666666666664
20Th_40ms_30SPD	noMBR	K562	MM_Astral_paper_K562_30SPD_noMBR	[5238, 4607, 5286]	5043.666666666667	[30800, 22871, 30203]	27958.0	17.677495318206798	29.63004936212577	6.0	5.0	3.44
20Th_40ms_40SPD	noMBR	K562	MM_Astral_paper_K562_40SPD_noMBR	[5068, 4966, 5038]	5024.0	[27214, 27241, 26232]	26895.666666666668	12.845017360134579	21.546714504631456	6.0	5.0	3.216666666666667
20Th_40ms_50SPD	noMBR	K562	MM_Astral_paper_K562_50SPD_noMBR	[5159, 5106, 5296]	5187.0	[28545, 28466, 29111]	28707.333333333332	13.93041003050417	20.446698552058294	5.0	4.0	2.5166666666666666
20Th_40ms_60SPD	noMBR	K562	MM_Astral_paper_K562_60SPD_noMBR	[5269, 5243, 5198]	5236.666666666667	[28092, 27273, 26724]	27363.0	18.737052877454833	23.44443811802989	5.0	4.0	2.4600000000000004
20Th_40ms_80SPD	noMBR	K562	MM_Astral_paper_K562_80SPD_noMBR	[4459, 4619, 4525]	4534.333333333333	[19372, 20973, 20367]	20237.333333333332	17.571119783453135	21.964101162808955	4.0	3.0	2.1
20Th_40ms_30SPD	MBR	K562	MM_Astral_paper_K562_30SPD_MBR	[5388, 5373, 5391]	5384.0	[35277, 35067, 35195]	35179.666666666664	7.9160431138158405	12.732510914465948	6.0	5.0	3.436666666666667
20Th_40ms_40SPD	MBR	K562	MM_Astral_paper_K562_40SPD_MBR	[5358, 5359, 5359]	5358.666666666667	[33017, 33024, 33045]	33028.666666666664	7.408725711054211	13.576925314128673	6.0	4.0	3.2099999999999995
20Th_40ms_50SPD	MBR	K562	MM_Astral_paper_K562_50SPD_MBR	[5424, 5449, 5442]	5438.333333333333	[34936, 34775, 34709]	34806.666666666664	7.505457216120488	11.537792614594402	5.0	4.0	2.566666666666667
20Th_40ms_60SPD	MBR	K562	MM_Astral_paper_K562_60SPD_MBR	[5527, 5507, 5519]	5517.666666666667	[33360, 33253, 33133]	33248.666666666664	7.962556985714276	12.285122086435482	5.0	4.0	2.473333333333333
20Th_40ms_80SPD	MBR	K562	MM_Astral_paper_K562_80SPD_MBR	[4891, 4906, 4893]	4896.666666666667	[25302, 25606, 25377]	25428.333333333332	8.825869200241836	14.81543854694455	4.0	3.0	2.13
20Th_40ms_50SPD	L10ng	K562	MM_Astral_paper_K562_50SPD_library_search	[6820, 6844, 6825]	6829.666666666667	[49690, 49098, 49382]	49390.0	9.467373284767651	14.431068307070237	5.0	4.0	2.5466666666666664
			JB_HeLa10ng_240k_5Th_10ms_50SPD_MBR	[8189, 8066, 8173]	8142.666666666667	[66991, 65125, 68019]	66711.66666666667					
			MM_Astral_paper_K562_10ng_50SPD	[7452, 7465, 7451]	7456.0	[61117, 62985, 62650]	62250.666666666664					
