experiment,LC,Sample,injection,analysis,method,PG_mean,PG_std,PG,PG_all,DPPP_MS1,DPPP_MS2,Precursors_mean,Precursors_std,Precursors,Precursors_all,"FWHM, s",folder,name,short_name,SPD
MM_A1_ownFAIMS_BremenFeb24_column1_K562_frozen_from_Vienna,24.9,K562,250pg,MBR,bremFeb24_col1_50SPD,5377.666666666667,8.736894948054106,"[5368, 5385, 5380]",5412,5.0,4.0,45438.0,351.3986340326325,"[45467, 45774, 45073]",46187,2.6533333333333338,20240205_132350_MM_A1_ownFAIMS_BremenFeb24_column1_K562_frozen_from_Vienna,"K562_250pg
bremFeb24_col1_50SPD
MBR",250pg_MBR,50SPD
MM_A1_ownFAIMS_BremenFeb24_column2_K562_frozen_from_Vienna,24.8,K562,250pg,MBR,bremFeb24_col2_50SPD,5523.0,7.54983443527075,"[5516, 5522, 5531]",5554,5.0,4.0,44963.333333333336,101.50041050820107,"[44927, 45078, 44885]",45452,2.57,20240205_132223_MM_A1_ownFAIMS_BremenFeb24_column2_K562_frozen_from_Vienna,"K562_250pg
bremFeb24_col2_50SPD
MBR",250pg_MBR,50SPD
MM_Astral_paper_K562_50SPD_MBR,23.9,K562,250pg,MBR,bremNov23_col1_50SPD,5438.333333333333,12.897028081435403,"[5424, 5449, 5442]",5470,5.0,4.0,34806.666666666664,116.76614806241291,"[34936, 34775, 34709]",35344,2.566666666666667,20240209_122426_MM_Astral_paper_K562_50SPD_MBR,"K562_250pg
bremNov23_col1_50SPD
MBR",250pg_MBR,50SPD
JB_HeLa250pg_in_250pg10ngSearch_MBR,24.8,HeLa,250pg,MBR,10ng_250pg_50SPD,7595.0,103.79306335203717,"[7478, 7676, 7631]",8428,5.0,4.0,55457.0,1700.4173017233152,"[53542, 56790, 56039]",77327,2.54,__JB_HeLa250pg_in_250pg10ngSearch_MBR,"HeLa_250pg
10ng_250pg_50SPD
MBR",250pg_MBR,50SPD
JB_HeLa250pg_240k_20Th_40ms_50SPD_L10ng,24.8,HeLa,250pg,L10ng,20Th_40ms_50SPD,7563.666666666667,53.46338310781813,"[7502, 7597, 7592]",7800,5.0,4.0,58331.666666666664,1655.7669924640163,"[56554, 59830, 58611]",67682,2.54,20240209_134309_JB_HeLa250pg_240k_20Th_40ms_50SPD_L10ng,"HeLa_250pg
20Th_40ms_50SPD
L10ng",250pg_L10ng,50SPD
MM_Armadillo_Exploris_blank_MBR,27.0,blank,blank,MBR,exploris_Armadillo_50SPD,58.0,8.524474568362947,"[58, 51, 53, 70]",71,3.0,3.0,155.75,23.921747427811372,"[156, 144, 134, 189]",192,4.0525,20240117_162128_MM_Armadillo_Exploris_blank_MBR,"blank_blank
exploris_Armadillo_50SPD
MBR",blank_MBR,50SPD
MM_Evo96_Exploris_blank_MBR,27.0,blank,blank,MBR,exploris_Evo96_50SPD,898.5,44.59073147340525,"[892, 929, 935, 838]",939,3.0,3.0,2944.5,173.33108972906928,"[2877, 3101, 3069, 2731]",3157,3.875,20240117_162536_MM_Evo96_Exploris_blank_MBR,"blank_blank
exploris_Evo96_50SPD
MBR",blank_MBR,50SPD
MM_Armadillo_Exploris_A549_MBR,27.0,A549,SC,MBR,exploris_Armadillo_50SPD,3185.8,320.9526280834669,"[3448, 3224, 3195, 3361, 3673, 3014, 3169, 2581, 3140, 2881, 3529, 3302, 3016, 2807, 2665, 3586, 3690, 3114, 2903, 3418]",3806,3.0,3.0,14189.9,2514.4766725587465,"[15984, 14034, 14337, 15163, 18766, 12606, 13938, 10435, 13687, 11788, 16738, 14951, 12991, 11212, 10151, 17303, 18649, 13331, 11858, 15876]",20209,4.0344999999999995,20240117_162028_MM_Armadillo_Exploris_A549_MBR,"A549_SC
exploris_Armadillo_50SPD
MBR",SC_MBR,50SPD
MM_Evo96_Exploris_A549_MBR,27.0,A549,SC,MBR,exploris_Evo96_50SPD,2220.7,110.37596038802538,"[2303, 2229, 2130, 2234, 2294, 2285, 2189, 2053, 2318, 2348, 2305, 2310, 2290, 2343, 2041, 2074, 2316, 2208, 2142, 2002]",2483,3.0,3.0,8938.5,697.6870433986256,"[9525, 9078, 8571, 9085, 9463, 9045, 8542, 7817, 9612, 9768, 9380, 9433, 9380, 9742, 7829, 8114, 9672, 8766, 8339, 7609]",11004,3.8989999999999987,20240117_162451_MM_Evo96_Exploris_A549_MBR,"A549_SC
exploris_Evo96_50SPD
MBR",SC_MBR,50SPD
JB_ProtChipLF_no_clean_blank_MBR,27.0,blank,blank,MBR,exploris_ProteoCHIP_50SPD_noHCl,685.6666666666666,7.234178138070235,"[682, 681, 694]",712,3.0,3.0,2207.6666666666665,75.39451792626129,"[2142, 2191, 2290]",2337,4.069999999999999,20240212_121504_JB_ProtChipLF_no_clean_blank_MBR,"blank_blank
exploris_ProteoCHIP_50SPD_noHCl
MBR",blank_MBR,noHCl
