experiment,LC,Sample,injection,analysis,method,PG_mean,PG_std,PG,PG_all,DPPP_MS1,DPPP_MS2,Precursors_mean,Precursors_std,Precursors,Precursors_all,"FWHM, s",prot_ms1_cv,prot_ms2_cv,folder,name,short_name
10000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_noMBR,24.8,HeLa,10000pg,noMBR,240k_100ms_5Th_10ms_FAIMSCV-48,8063.0,129.15494570476193,"[8199, 8048, 7942]",9572,6.0,4.0,84532.33333333333,3871.179708219877,"[88336, 84664, 80597]",112351,2.46,0.0,0.0,10000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_noMBR,"HeLa_10000pg
240k_100ms_5Th_10ms_FAIMSCV-48
noMBR",10000pg_noMBR
5000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_noMBR,24.8,HeLa,5000pg,noMBR,240k_100ms_5Th_10ms_FAIMSCV-48,7603.0,159.37691175323985,"[7514, 7787, 7508]",9572,6.0,4.0,74548.33333333333,1646.770880642882,"[73175, 76374, 74096]",112351,2.5033333333333334,0.0,0.0,5000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_noMBR,"HeLa_5000pg
240k_100ms_5Th_10ms_FAIMSCV-48
noMBR",5000pg_noMBR
2000pgHeLa_240k_100ms_8Th_14ms_FAIMSCV-48_noMBR,24.9,HeLa,2000pg,noMBR,240k_100ms_8Th_14ms_FAIMSCV-48,7064.333333333333,20.132891827388665,"[7083, 7043, 7067]",9572,6.0,4.0,61476.333333333336,313.2767679438316,"[61263, 61836, 61330]",112351,2.4066666666666667,0.0,0.0,2000pgHeLa_240k_100ms_8Th_14ms_FAIMSCV-48_noMBR,"HeLa_2000pg
240k_100ms_8Th_14ms_FAIMSCV-48
noMBR",2000pg_noMBR
1000pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_noMBR,24.9,HeLa,1000pg,noMBR,240k_100ms_10Th_20ms_FAIMSCV-48,6482.333333333333,60.011110082495,"[6481, 6543, 6423]",9572,6.0,3.0,53394.0,679.5388141968051,"[53270, 54127, 52785]",112351,2.5066666666666664,0.0,0.0,1000pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_noMBR,"HeLa_1000pg
240k_100ms_10Th_20ms_FAIMSCV-48
noMBR",1000pg_noMBR
700pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_noMBR,24.9,HeLa,700pg,noMBR,240k_100ms_10Th_20ms_FAIMSCV-48,6360.0,11.532562594670797,"[6348, 6371, 6361]",9572,5.0,3.0,49801.0,991.8936434920832,"[49030, 50920, 49453]",112351,2.51,0.0,0.0,700pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_noMBR,"HeLa_700pg
240k_100ms_10Th_20ms_FAIMSCV-48
noMBR",700pg_noMBR
500pgHeLa_240k_100ms_20Th_40ms_FAIMSCV-48_noMBR,24.9,HeLa,500pg,noMBR,240k_100ms_20Th_40ms_FAIMSCV-48,6219.333333333333,74.03602726600971,"[6292, 6144, 6222]",9572,5.0,4.0,46742.333333333336,554.6857969457424,"[47050, 47075, 46102]",112351,2.476666666666667,0.0,0.0,500pgHeLa_240k_100ms_20Th_40ms_FAIMSCV-48_noMBR,"HeLa_500pg
240k_100ms_20Th_40ms_FAIMSCV-48
noMBR",500pg_noMBR
250pgHeLa_240k_250ms_20Th_40ms_FAIMSCV-48_noMBR,24.9,HeLa,250pg,noMBR,240k_250ms_20Th_40ms_FAIMSCV-48,5791.666666666667,144.05670179944192,"[5650, 5787, 5938]",9572,5.0,4.0,41317.0,879.338387652899,"[40467, 41261, 42223]",112351,2.5466666666666664,0.0,0.0,250pgHeLa_240k_250ms_20Th_40ms_FAIMSCV-48_noMBR,"HeLa_250pg
240k_250ms_20Th_40ms_FAIMSCV-48
noMBR",250pg_noMBR
150pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_noMBR,24.9,HeLa,150pg,noMBR,240k_250ms_20Th_60ms_FAIMSCV-48,5159.0,139.47401191619892,"[5310, 5035, 5132]",9572,7.0,2.0,33841.333333333336,640.6967561439135,"[34561, 33333, 33630]",112351,3.15,0.0,0.0,150pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_noMBR,"HeLa_150pg
240k_250ms_20Th_60ms_FAIMSCV-48
noMBR",150pg_noMBR
100pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_noMBR,24.9,HeLa,100pg,noMBR,240k_250ms_20Th_60ms_FAIMSCV-48,5001.333333333333,109.36788072068204,"[4966, 5124, 4914]",9572,6.0,2.0,31010.333333333332,1074.9624799653861,"[30027, 32158, 30846]",112351,3.216666666666667,0.0,0.0,100pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_noMBR,"HeLa_100pg
240k_250ms_20Th_60ms_FAIMSCV-48
noMBR",100pg_noMBR
50pgHeLa_240k_250ms_20Th_80ms_FAIMSCV-48_noMBR,24.9,HeLa,50pg,noMBR,240k_250ms_20Th_80ms_FAIMSCV-48,4146.333333333333,150.7061157794644,"[4176, 4280, 3983]",9572,6.0,2.0,23830.0,969.5112170573376,"[24942, 23162, 23386]",112351,3.4499999999999997,0.0,0.0,50pgHeLa_240k_250ms_20Th_80ms_FAIMSCV-48_noMBR,"HeLa_50pg
240k_250ms_20Th_80ms_FAIMSCV-48
noMBR",50pg_noMBR
10000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_MBR,24.8,HeLa,10000pg,MBR,240k_100ms_5Th_10ms_FAIMSCV-48,8464.333333333334,5.507570547286102,"[8468, 8467, 8458]",9167,6.0,4.0,98058.66666666667,268.3287784292496,"[98314, 97779, 98083]",110622,2.486666666666667,5.951439065565687,6.692629745961417,10000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_MBR,"HeLa_10000pg
240k_100ms_5Th_10ms_FAIMSCV-48
MBR",10000pg_MBR
1000pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_MBR,24.9,HeLa,1000pg,MBR,240k_100ms_10Th_20ms_FAIMSCV-48,6973.0,10.583005244258363,"[6981, 6977, 6961]",9167,6.0,4.0,64082.333333333336,85.34830597811144,"[64178, 64014, 64055]",110622,2.53,5.576979730562488,9.739225106549648,1000pgHeLa_240k_100ms_10Th_20ms_FAIMSCV-48_MBR,"HeLa_1000pg
240k_100ms_10Th_20ms_FAIMSCV-48
MBR",1000pg_MBR
100pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_MBR,24.9,HeLa,100pg,MBR,240k_250ms_20Th_60ms_FAIMSCV-48,5540.0,16.0,"[5556, 5540, 5524]",9167,6.0,2.0,39839.0,141.742724681022,"[39714, 39993, 39810]",110622,3.236666666666667,6.180747784841197,14.993496140629636,100pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_MBR,"HeLa_100pg
240k_250ms_20Th_60ms_FAIMSCV-48
MBR",100pg_MBR
150pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_MBR,24.9,HeLa,150pg,MBR,240k_250ms_20Th_60ms_FAIMSCV-48,5792.333333333333,14.46835627614047,"[5809, 5785, 5783]",9167,7.0,3.0,43060.666666666664,160.5532102866004,"[43246, 42964, 42972]",110622,3.1799999999999997,6.400059931549507,13.635232708171767,150pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_MBR,"HeLa_150pg
240k_250ms_20Th_60ms_FAIMSCV-48
MBR",150pg_MBR
2000pgHeLa_240k_100ms_8Th_14ms_FAIMSCV-48_MBR,24.8,HeLa,2000pg,MBR,240k_100ms_8Th_14ms_FAIMSCV-48,7494.333333333333,12.220201853215574,"[7505, 7481, 7497]",9167,6.0,4.0,72887.0,107.289328453486,"[73001, 72788, 72872]",110622,2.4299999999999997,5.334876677278184,8.68591492862317,2000pgHeLa_240k_100ms_8Th_14ms_FAIMSCV-48_MBR,"HeLa_2000pg
240k_100ms_8Th_14ms_FAIMSCV-48
MBR",2000pg_MBR
250pgHeLa_240k_250ms_20Th_40ms_FAIMSCV-48_MBR,24.9,HeLa,250pg,MBR,240k_250ms_20Th_40ms_FAIMSCV-48,6248.0,13.892443989449804,"[6239, 6264, 6241]",9167,5.0,4.0,50561.666666666664,69.58687615731384,"[50507, 50538, 50640]",110622,2.5700000000000003,6.640493741015567,11.121132840046826,250pgHeLa_240k_250ms_20Th_40ms_FAIMSCV-48_MBR,"HeLa_250pg
240k_250ms_20Th_40ms_FAIMSCV-48
MBR",250pg_MBR
