,all cells,SC_20-25,SC_25-30,SC_15-20
0,5805,5599.0,5664.0,5239.0
1,5705,5325.0,5484.0,4787.0
2,5591,5026.0,5272.0,4481.0
3,5479,4793.0,5078.0,4250.0
4,5370,4574.0,4915.0,4044.0
5,5267,4399.0,4740.0,3856.0
6,5176,4226.0,4563.0,3673.0
7,5098,4069.0,4392.0,3521.0
8,4992,3916.0,4248.0,3368.0
9,4892,3774.0,4102.0,3243.0
10,4812,3616.0,3971.0,3117.0
11,4734,3468.0,3831.0,2983.0
12,4666,3336.0,3674.0,2860.0
13,4600,3200.0,3530.0,2728.0
14,4538,3055.0,3348.0,2602.0
15,4461,2870.0,3161.0,2472.0
16,4388,2739.0,2931.0,2330.0
17,4325,2576.0,2665.0,2189.0
18,4270,2406.0,2154.0,2066.0
19,4188,2221.0,,1936.0
20,4138,2023.0,,1776.0
21,4078,1799.0,,1611.0
22,4015,1457.0,,1413.0
23,3965,,,1127.0
24,3917,,,
25,3861,,,
26,3810,,,
27,3757,,,
28,3706,,,
29,3649,,,
30,3592,,,
31,3546,,,
32,3492,,,
33,3422,,,
34,3375,,,
35,3312,,,
36,3249,,,
37,3212,,,
38,3172,,,
39,3125,,,
40,3073,,,
41,3021,,,
42,2954,,,
43,2902,,,
44,2852,,,
45,2800,,,
46,2744,,,
47,2687,,,
48,2624,,,
49,2570,,,
50,2505,,,
51,2439,,,
52,2381,,,
53,2322,,,
54,2260,,,
55,2188,,,
56,2113,,,
57,2025,,,
58,1953,,,
59,1877,,,
60,1772,,,
61,1685,,,
62,1575,,,
63,1440,,,
64,1297,,,
65,1053,,,
