,#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
0,GO:0009653,Anatomical structure morphogenesis,69,2229,0.41,3.34e-09,"9606.ENSP00000070846,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296522,9606.ENSP00000296585,9606.ENSP00000300060,9606.ENSP00000301653,9606.ENSP00000307900,9606.ENSP00000311344,9606.ENSP00000325526,9606.ENSP00000327145,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000352208,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356581,9606.ENSP00000358765,9606.ENSP00000363117,9606.ENSP00000363827,9606.ENSP00000365682,9606.ENSP00000366070,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373489,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000425556,9606.ENSP00000432568,9606.ENSP00000455215,9606.ENSP00000455507,9606.ENSP00000464162,9606.ENSP00000478927,9606.ENSP00000486285,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTSZ,LAMB1,COL1A1,HAND1,HES1,HOXB7,MSX2,HOXC13,MICAL2,TBX3,THBS1,SEMA7A,SLC9A3R1,TP63,EGFR,MYL9,GRHL3,CAPN2,HPGD,ITGA2,ANPEP,KRT16,GLUL,PPP2R1B,WNT11,FLNC,EPHB3,PARVA,PTN,ANO1,SHTN1,PLXNB1,MYOF,CALD1,KRT19,TGM2,ADGRG6,TPBG,FGR,HSPG2,TLE1,RILPL1,PODXL,GATA3,AGRN,CDX2,KRT18,PRTG,LAMA1,RFLNA,NR2F2,EPHB2,CRPPA,MYO18B,CHD7,TNIK,ACVR1,PALLD,SPTBN2,ADGRG1,OBSCN,GREB1L,YAP1,FARP1,EFNB2,GRHL2,HOXA13,TFAP2A"
1,GO:0048856,Anatomical structure development,114,5117,0.26,5.47e-09,"9606.ENSP00000070846,9606.ENSP00000160373,9606.ENSP00000199389,9606.ENSP00000215957,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225929,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000274341,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296522,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000297258,9606.ENSP00000297689,9606.ENSP00000300060,9606.ENSP00000301653,9606.ENSP00000307900,9606.ENSP00000311344,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000316905,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000327145,9606.ENSP00000329243,9606.ENSP00000332118,9606.ENSP00000333350,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000346809,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000348931,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000352208,9606.ENSP00000353007,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356515,9606.ENSP00000356581,9606.ENSP00000358421,9606.ENSP00000358765,9606.ENSP00000360316,9606.ENSP00000362924,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000363827,9606.ENSP00000365682,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373489,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000379330,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000386881,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000405577,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000445122,9606.ENSP00000449404,9606.ENSP00000451261,9606.ENSP00000455215,9606.ENSP00000455507,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000482760,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTTNBP2,EIF2AK1,MICALL1,CTSZ,LAMB1,HSD17B1,COL1A1,HAND1,HES1,HOXB7,MSX2,HOXC13,MICAL2,MSI1,TBX3,THBS1,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,HAPLN1,EGFR,MYL9,GRHL3,CAPN2,HPGD,ITGA2,TNFRSF21,FABP5,NFIL3,ANPEP,KRT16,GLUL,PPP2R1B,DAB2,BIN1,SFXN1,GRHL1,WNT11,FLNC,KRT7,EPHB3,JRKL,PARVA,PTN,PGAP1,ANO1,SHTN1,FABP7,PLXNB1,TFEB,MYOF,SULF2,CALD1,KRT19,TGM2,UTRN,ADGRG6,HSD3B1,TPBG,DHCR24,GSN,FGR,FOXO4,HSPG2,TLE1,RILPL1,ANXA1,PODXL,GATA3,AGRN,CDX2,KRT18,PRTG,LAMA1,RFLNA,TAGLN,NR2F2,NFATC2,TCF4,EPHB2,CRPPA,SUN2,MYO18B,DYSF,CHD7,TNIK,ACVR1,CLMP,ADAM9,PALLD,CEBPA,LYN,SPTBN2,SH2B2,HSD3B2,KRT8,UBE2J1,ADGRG1,OBSCN,GREB1L,MARCKS,YAP1,DPF3,PCSK6,SMTN,FARP1,TCF7L2,EFNB2,GRHL2,HOXA13,TFAP2A"
2,GO:0035239,Tube morphogenesis,33,669,0.61,1.02e-07,"9606.ENSP00000217131,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000264731,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296522,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000354826,9606.ENSP00000355330,9606.ENSP00000363827,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000455215,9606.ENSP00000464162,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112","CTSZ,HAND1,HES1,MSX2,MICAL2,TBX3,THBS1,TP63,EGFR,GRHL3,HPGD,ANPEP,GLUL,WNT11,EPHB3,PARVA,CALD1,TGM2,HSPG2,PODXL,GATA3,LAMA1,NR2F2,EPHB2,MYO18B,CHD7,ACVR1,ADGRG1,GREB1L,YAP1,EFNB2,GRHL2,HOXA13"
3,GO:0032502,Developmental process,117,5657,0.23,1.8e-07,"9606.ENSP00000070846,9606.ENSP00000160373,9606.ENSP00000199389,9606.ENSP00000215957,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225929,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000274341,9606.ENSP00000275493,9606.ENSP00000279022,9606.ENSP00000279488,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296522,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000297258,9606.ENSP00000297689,9606.ENSP00000300060,9606.ENSP00000301653,9606.ENSP00000307900,9606.ENSP00000311344,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000316905,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000327145,9606.ENSP00000329243,9606.ENSP00000332118,9606.ENSP00000333350,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000346809,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000348931,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000352208,9606.ENSP00000353007,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356465,9606.ENSP00000356515,9606.ENSP00000356581,9606.ENSP00000358421,9606.ENSP00000358765,9606.ENSP00000360316,9606.ENSP00000362924,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000363827,9606.ENSP00000365682,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373489,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000379330,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000386881,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000405577,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000427123,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000445122,9606.ENSP00000449404,9606.ENSP00000451261,9606.ENSP00000455215,9606.ENSP00000455507,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000482760,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTTNBP2,EIF2AK1,MICALL1,CTSZ,LAMB1,HSD17B1,COL1A1,HAND1,HES1,HOXB7,MSX2,HOXC13,MICAL2,MSI1,TBX3,THBS1,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,HAPLN1,EGFR,MYL9,DUSP6,GRHL3,CAPN2,HPGD,ITGA2,TNFRSF21,FABP5,NFIL3,ANPEP,KRT16,GLUL,PPP2R1B,DAB2,BIN1,SFXN1,GRHL1,WNT11,FLNC,KRT7,EPHB3,JRKL,PARVA,PTN,PGAP1,ANO1,SHTN1,FABP7,PLXNB1,TFEB,MYOF,SULF2,CALD1,KRT19,TGM2,RAB32,UTRN,ADGRG6,HSD3B1,TPBG,DHCR24,GSN,FGR,FOXO4,HSPG2,TLE1,RILPL1,ANXA1,PODXL,GATA3,AGRN,CDX2,KRT18,PRTG,LAMA1,RFLNA,TAGLN,NR2F2,NFATC2,TCF4,EPHB2,CRPPA,SUN2,MYO18B,DYSF,CHD7,TNIK,ACVR1,CLMP,ADAM9,PALLD,RAI14,CEBPA,LYN,SPTBN2,SH2B2,HSD3B2,KRT8,UBE2J1,ADGRG1,OBSCN,GREB1L,MARCKS,YAP1,DPF3,PCSK6,SMTN,FARP1,TCF7L2,EFNB2,GRHL2,HOXA13,TFAP2A"
4,GO:0035295,Tube development,37,880,0.54,2.69e-07,"9606.ENSP00000217131,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000256194,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000264731,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296522,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000354826,9606.ENSP00000355330,9606.ENSP00000363827,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000377721,9606.ENSP00000383053,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000405577,9606.ENSP00000427514,9606.ENSP00000455215,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112","CTSZ,HAND1,HES1,MSX2,MICAL2,TBX3,THBS1,TP63,EGFR,GRHL3,HPGD,ANPEP,GLUL,WNT11,EPHB3,PARVA,CALD1,TGM2,HSPG2,PODXL,GATA3,CDX2,LAMA1,NR2F2,EPHB2,MYO18B,CHD7,ACVR1,CLMP,CEBPA,ADGRG1,GREB1L,MARCKS,YAP1,EFNB2,GRHL2,HOXA13"
5,GO:0009888,Tissue development,54,1723,0.41,2.83e-07,"9606.ENSP00000070846,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296585,9606.ENSP00000297258,9606.ENSP00000301653,9606.ENSP00000313391,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000329243,9606.ENSP00000341170,9606.ENSP00000353007,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000360316,9606.ENSP00000363117,9606.ENSP00000363827,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000449404,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTSZ,LAMB1,COL1A1,HAND1,HES1,MSX2,HOXC13,MICAL2,MSI1,TBX3,SEMA7A,SLC9A3R1,TP63,CDK6,EGFR,GRHL3,ITGA2,FABP5,KRT16,DAB2,GRHL1,WNT11,KRT7,PTN,SULF2,KRT19,TGM2,DHCR24,FGR,HSPG2,RILPL1,ANXA1,PODXL,GATA3,AGRN,CDX2,LAMA1,TAGLN,NR2F2,MYO18B,CHD7,ACVR1,ADAM9,PALLD,CEBPA,KRT8,GREB1L,MARCKS,YAP1,EFNB2,GRHL2,HOXA13,TFAP2A"
6,GO:0060429,Epithelium development,41,1069,0.5,2.83e-07,"9606.ENSP00000217131,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239243,9606.ENSP00000243056,9606.ENSP00000256194,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296585,9606.ENSP00000301653,9606.ENSP00000313391,9606.ENSP00000325526,9606.ENSP00000329243,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000366070,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000370408,9606.ENSP00000374309,9606.ENSP00000376678,9606.ENSP00000377721,9606.ENSP00000392028,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000449404,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","CTSZ,HAND1,HES1,MSX2,HOXC13,MICAL2,MSI1,TBX3,SLC9A3R1,TP63,CDK6,EGFR,GRHL3,ITGA2,KRT16,DAB2,WNT11,KRT7,KRT19,TGM2,RILPL1,ANXA1,PODXL,GATA3,CDX2,LAMA1,TAGLN,NR2F2,CHD7,ACVR1,ADAM9,PALLD,CEBPA,KRT8,GREB1L,MARCKS,YAP1,EFNB2,GRHL2,HOXA13,TFAP2A"
7,GO:0030029,Actin filament-based process,30,609,0.61,3.53e-07,"9606.ENSP00000070846,9606.ENSP00000256194,9606.ENSP00000262613,9606.ENSP00000279022,9606.ENSP00000327145,9606.ENSP00000329219,9606.ENSP00000334008,9606.ENSP00000347532,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000356515,9606.ENSP00000362924,9606.ENSP00000366109,9606.ENSP00000373964,9606.ENSP00000374377,9606.ENSP00000376330,9606.ENSP00000376333,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000399511,9606.ENSP00000425556,9606.ENSP00000425824,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000455507,9606.ENSP00000478061,9606.ENSP00000484398,9606.ENSP00000486285,9606.ENSP00000496438,9606.ENSP00000499251","PKP2,MICAL2,SLC9A3R1,MYL9,FLNC,FMNL1,PARVA,SHTN1,CALD1,KRT19,UTRN,GSN,ANXA1,SMTNL2,RFLNA,WIPF1,LLGL2,SUN2,MYO18B,TNIK,PALLD,CAMK2D,SPTBN2,SH2B2,OBSCN,MARCKS,SMTN,FARP1,S1PR2,NUAK2"
8,GO:0048731,System development,88,3867,0.27,1.15e-06,"9606.ENSP00000070846,9606.ENSP00000160373,9606.ENSP00000199389,9606.ENSP00000215957,9606.ENSP00000217131,9606.ENSP00000222399,9606.ENSP00000225929,9606.ENSP00000225964,9606.ENSP00000231121,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000256194,9606.ENSP00000257552,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264059,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000274341,9606.ENSP00000275493,9606.ENSP00000288955,9606.ENSP00000296522,9606.ENSP00000296585,9606.ENSP00000296861,9606.ENSP00000297689,9606.ENSP00000300060,9606.ENSP00000307900,9606.ENSP00000316905,9606.ENSP00000325526,9606.ENSP00000332118,9606.ENSP00000333350,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000346809,9606.ENSP00000347454,9606.ENSP00000347532,9606.ENSP00000348931,9606.ENSP00000351338,9606.ENSP00000351742,9606.ENSP00000353007,9606.ENSP00000354826,9606.ENSP00000355124,9606.ENSP00000355330,9606.ENSP00000356581,9606.ENSP00000358421,9606.ENSP00000358765,9606.ENSP00000360316,9606.ENSP00000362924,9606.ENSP00000363117,9606.ENSP00000363827,9606.ENSP00000366109,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000377721,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000385478,9606.ENSP00000385616,9606.ENSP00000386096,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000405577,9606.ENSP00000425556,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000432568,9606.ENSP00000440273,9606.ENSP00000445122,9606.ENSP00000455215,9606.ENSP00000464162,9606.ENSP00000478061,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000486285,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000497112,9606.ENSP00000501092","PKP2,CTTNBP2,EIF2AK1,MICALL1,CTSZ,LAMB1,HSD17B1,COL1A1,HAND1,HES1,HOXB7,MSX2,MICAL2,MSI1,TBX3,THBS1,SEMA7A,SLC9A3R1,EFHD1,TP63,CDK6,HAPLN1,EGFR,GRHL3,HPGD,ITGA2,TNFRSF21,NFIL3,ANPEP,GLUL,SFXN1,WNT11,EPHB3,JRKL,PARVA,PTN,PGAP1,ANO1,SHTN1,FABP7,PLXNB1,TFEB,SULF2,CALD1,KRT19,TGM2,ADGRG6,HSD3B1,TPBG,DHCR24,GSN,FGR,HSPG2,ANXA1,PODXL,GATA3,AGRN,CDX2,PRTG,LAMA1,RFLNA,NR2F2,TCF4,EPHB2,CRPPA,SUN2,MYO18B,CHD7,TNIK,ACVR1,CLMP,PALLD,CEBPA,LYN,SPTBN2,SH2B2,HSD3B2,ADGRG1,GREB1L,MARCKS,YAP1,DPF3,FARP1,TCF7L2,EFNB2,GRHL2,HOXA13,TFAP2A"
9,GO:0050793,Regulation of developmental process,66,2492,0.34,1.15e-06,"9606.ENSP00000070846,9606.ENSP00000222399,9606.ENSP00000225964,9606.ENSP00000232424,9606.ENSP00000239165,9606.ENSP00000239243,9606.ENSP00000247225,9606.ENSP00000249014,9606.ENSP00000256015,9606.ENSP00000257566,9606.ENSP00000260356,9606.ENSP00000261918,9606.ENSP00000262613,9606.ENSP00000264731,9606.ENSP00000265734,9606.ENSP00000275493,9606.ENSP00000279488,9606.ENSP00000288955,9606.ENSP00000295006,9606.ENSP00000296861,9606.ENSP00000307900,9606.ENSP00000313391,9606.ENSP00000316779,9606.ENSP00000322229,9606.ENSP00000324693,9606.ENSP00000325526,9606.ENSP00000329219,9606.ENSP00000332118,9606.ENSP00000334008,9606.ENSP00000341170,9606.ENSP00000347532,9606.ENSP00000351338,9606.ENSP00000355330,9606.ENSP00000357131,9606.ENSP00000358413,9606.ENSP00000358765,9606.ENSP00000363117,9606.ENSP00000363377,9606.ENSP00000363654,9606.ENSP00000363827,9606.ENSP00000364526,9606.ENSP00000366109,9606.ENSP00000368632,9606.ENSP00000368678,9606.ENSP00000370408,9606.ENSP00000373937,9606.ENSP00000374309,9606.ENSP00000374377,9606.ENSP00000379330,9606.ENSP00000381382,9606.ENSP00000383053,9606.ENSP00000392028,9606.ENSP00000399511,9606.ENSP00000405004,9606.ENSP00000419446,9606.ENSP00000423563,9606.ENSP00000427514,9606.ENSP00000428924,9606.ENSP00000438209,9606.ENSP00000478927,9606.ENSP00000479526,9606.ENSP00000486891,9606.ENSP00000493716,9606.ENSP00000495564,9606.ENSP00000496438,9606.ENSP00000501092","PKP2,LAMB1,COL1A1,HES1,HOXB7,MSX2,SGPP1,CDC42EP1,BTG1,TBX3,THBS1,SEMA7A,SLC9A3R1,TP63,CDK6,EGFR,DUSP6,GRHL3,CAPN2,TNFRSF21,GLUL,DAB2,BIN1,FADS1,GRHL1,WNT11,FMNL1,EPHB3,PARVA,PTN,SHTN1,PLXNB1,TGM2,ARHGAP18,ZDHHC6,TPBG,FGR,FOXO4,PALM2AKAP2,HSPG2,JCAD,ANXA1,GATA3,AGRN,CDX2,PRTG,LAMA1,RFLNA,NFATC2,TCF4,EPHB2,CHD7,TNIK,ACVR1,ADAM9,MACROH2A1,CEBPA,LYN,SP6,YAP1,DPF3,TCF7L2,EFNB2,GRHL2,S1PR2,TFAP2A"
